spec,family,rp,out,preproc,extractor,params,spec_sim,codec,task,seed,dim,F,C,epochs,sim,weight,multi,proto_bits,quant_train,val_acc,id_acc,margin_id,geom_fid,fit_s,mem_kb,vec_bits,ops_per_query,ext_bits,ext_ops,rp_density,rp_rank,proj,acc_shift_6,margin_ood,acc_shift_12,acc_shift_18,nmi,ari,auroc
gauss|ternary,linear,gaussian,bipolar,none,raw,,,ternary,fine,0,1024,64,30,30,cosine,uniform,1,32,0,0.7008333206176758,0.6959999799728394,0.0404355563223362,0.9384927333913473,0.013,376.0,2.0,98304,0,0,,,gauss,,,,,,,
gauss|bipolar,linear,gaussian,bipolar,none,raw,,,bipolar,fine,0,1024,64,30,30,cosine,uniform,1,32,0,0.7008333206176758,0.6959999799728394,0.0404355563223362,0.9384927333913473,0.009,376.0,1.0,98304,0,0,,,gauss,,,,,,,
signrff|fp32,rff,rff,real,none,raw,"{""bw_scale"": 1.0}",,fp32,fine,0,1024,64,30,30,cosine,uniform,1,32,0,0.7100000381469727,0.6899999976158142,0.007400943897664547,0.6680543725613959,0.034,380.0,32.0,97280,0,0,,,signrff,,,,,,,
signrff|int4,rff,rff,real,none,raw,"{""bw_scale"": 1.0}",,int4,fine,0,1024,64,30,30,cosine,uniform,1,32,0,0.7050000429153442,0.6913333535194397,0.007470204494893551,0.6670748692320587,0.034,380.0,4.0,98304,0,0,,,signrff,,,,,,,
signrff|ternary,rff,rff,real,none,raw,"{""bw_scale"": 1.0}",,ternary,fine,0,1024,64,30,30,cosine,uniform,1,32,0,0.7141667008399963,0.6913333535194397,0.007405248004943132,0.6472774402742767,0.036,380.0,2.0,98304,0,0,,,signrff,,,,,,,
signrff|bipolar,rff,rff,real,none,raw,"{""bw_scale"": 1.0}",,bipolar,fine,0,1024,64,30,30,cosine,uniform,1,32,0,0.6700000166893005,0.6646666526794434,0.006587986368685961,0.6289462425361816,0.032,380.0,1.0,98304,0,0,,,signrff,,,,,,,
fpe_b1|fp32,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,fp32,fine,0,1024,64,30,30,cosine,uniform,1,32,0,0.23666667938232422,0.2786666750907898,-0.007144138216972351,0.0036039096822823823,0.032,376.12,1.0,97280,0,0,,,fpe_b1,,,,,,,
fpe_b1|int4,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,int4,fine,0,1024,64,30,30,cosine,uniform,1,32,0,0.23666667938232422,0.2786666750907898,-0.007144138216972351,0.0036039096822823823,0.033,376.12,4.0,98304,0,0,,,fpe_b1,,,,,,,
fpe_b1|ternary,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,ternary,fine,0,1024,64,30,30,cosine,uniform,1,32,0,0.23666667938232422,0.2786666750907898,-0.007144138216972351,0.0036039096822823823,0.036,376.12,2.0,98304,0,0,,,fpe_b1,,,,,,,
fpe_b1|bipolar,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,bipolar,fine,0,1024,64,30,30,cosine,uniform,1,32,0,0.23666667938232422,0.2786666750907898,-0.007144138216972351,0.0036039096822823823,0.032,376.12,1.0,98304,0,0,,,fpe_b1,,,,,,,
learned|fp32,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,fp32,fine,0,1024,64,30,30,cosine,uniform,1,32,0,0.7266666889190674,0.7120000123977661,0.08079048246145248,0.6872848720327202,0.304,376.5,1.0,97408,0,0,,,learned,,,,,,,
learned|int4,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,int4,fine,0,1024,64,30,30,cosine,uniform,1,32,0,0.7266666889190674,0.7120000123977661,0.08079048246145248,0.6872848720327202,0.306,376.5,4.0,98432,0,0,,,learned,,,,,,,
learned|ternary,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,ternary,fine,0,1024,64,30,30,cosine,uniform,1,32,0,0.7266666889190674,0.7120000123977661,0.08079048246145248,0.6872848720327202,0.309,376.5,2.0,98432,0,0,,,learned,,,,,,,
learned|bipolar,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,bipolar,fine,0,1024,64,30,30,cosine,uniform,1,32,0,0.7266666889190674,0.7120000123977661,0.08079048246145248,0.6872848720327202,0.304,376.5,1.0,98432,0,0,,,learned,,,,,,,
gauss|fp32,linear,gaussian,bipolar,none,raw,,,fp32,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.7233333587646484,0.7133333086967468,0.04650498926639557,0.9832824817403812,0.017,1504.0,1.0,389120,0,0,1.0,64.0,gauss,,,,,,,
gauss|int4,linear,gaussian,bipolar,none,raw,,,int4,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.7233333587646484,0.7133333086967468,0.04650498926639557,0.9832824817403812,0.031,1504.0,4.0,393216,0,0,,,gauss,,,,,,,
gauss|ternary,linear,gaussian,bipolar,none,raw,,,ternary,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.7233333587646484,0.7133333086967468,0.04650498926639557,0.9832824817403812,0.048,1504.0,2.0,393216,0,0,,,gauss,,,,,,,
gauss|bipolar,linear,gaussian,bipolar,none,raw,,,bipolar,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.7233333587646484,0.7133333086967468,0.04650498926639557,0.9832824817403812,0.018,1504.0,1.0,393216,0,0,,,gauss,,,,,,,
signrff|fp32,rff,rff,real,none,raw,"{""bw_scale"": 1.0}",,fp32,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.7041667103767395,0.6946666836738586,0.008011087775230408,0.6881166234693237,0.04,1520.0,32.0,389120,0,0,,,signrff,,,,,,,
signrff|int4,rff,rff,real,none,raw,"{""bw_scale"": 1.0}",,int4,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.7116667032241821,0.684666633605957,0.007974164560437202,0.687854976851274,0.054,1520.0,4.0,393216,0,0,,,signrff,,,,,,,
signrff|ternary,rff,rff,real,none,raw,"{""bw_scale"": 1.0}",,ternary,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.7133333683013916,0.6993333101272583,0.008492061868309975,0.6814424183660468,0.074,1520.0,2.0,393216,0,0,,,signrff,,,,,,,
signrff|bipolar,rff,rff,real,none,raw,"{""bw_scale"": 1.0}",,bipolar,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.721666693687439,0.7020000219345093,0.008494431152939796,0.6772444470143592,0.04,1520.0,1.0,393216,0,0,,,signrff,,,,,,,
fpe_b1|fp32,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,fp32,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.4866666793823242,0.5173333287239075,0.0007018423057161272,0.0032500694254692553,0.038,1504.5,1.0,389120,0,0,,,fpe_b1,,,,,,,
fpe_b1|int4,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,int4,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.4866666793823242,0.5173333287239075,0.0007018423057161272,0.0032500694254692553,0.052,1504.5,4.0,393216,0,0,,,fpe_b1,,,,,,,
fpe_b1|ternary,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,ternary,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.4866666793823242,0.5173333287239075,0.0007018423057161272,0.0032500694254692553,0.07,1504.5,2.0,393216,0,0,,,fpe_b1,,,,,,,
fpe_b1|bipolar,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,bipolar,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.4866666793823242,0.5173333287239075,0.0007018423057161272,0.0032500694254692553,0.04,1504.5,1.0,393216,0,0,,,fpe_b1,,,,,,,
learned|fp32,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,fp32,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.7391666769981384,0.7113333344459534,0.0823928639292717,0.7049262393499617,0.313,1504.5,1.0,389248,0,0,,,learned,,,,,,,
learned|int4,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,int4,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.7391666769981384,0.7113333344459534,0.0823928639292717,0.7049262393499617,0.288,1504.5,4.0,393344,0,0,,,learned,,,,,,,
learned|ternary,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,ternary,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.7391666769981384,0.7113333344459534,0.0823928639292717,0.7049262393499617,0.308,1504.5,2.0,393344,0,0,,,learned,,,,,,,
learned|bipolar,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,bipolar,fine,0,4096,64,30,30,cosine,uniform,1,32,0,0.7391666769981384,0.7113333344459534,0.0823928639292717,0.7049262393499617,0.279,1504.5,1.0,393344,0,0,,,learned,,,,,,,
gauss|fp32,linear,gaussian,bipolar,none,raw,,,fp32,fine,1,256,64,30,30,cosine,uniform,1,32,0,0.5875000357627869,0.5740000009536743,0.007285405416041613,0.8011670131034484,0.009,94.0,1.0,24320,0,0,1.0,64.0,gauss,,,,,,,
gauss|int4,linear,gaussian,bipolar,none,raw,,,int4,fine,1,256,64,30,30,cosine,uniform,1,32,0,0.5875000357627869,0.5740000009536743,0.007285405416041613,0.8011670131034484,0.009,94.0,4.0,24576,0,0,,,gauss,,,,,,,
gauss|ternary,linear,gaussian,bipolar,none,raw,,,ternary,fine,1,256,64,30,30,cosine,uniform,1,32,0,0.5875000357627869,0.5740000009536743,0.007285405416041613,0.8011670131034484,0.01,94.0,2.0,24576,0,0,,,gauss,,,,,,,
gauss|bipolar,linear,gaussian,bipolar,none,raw,,,bipolar,fine,1,256,64,30,30,cosine,uniform,1,32,0,0.5875000357627869,0.5740000009536743,0.007285405416041613,0.8011670131034484,0.009,94.0,1.0,24576,0,0,,,gauss,,,,,,,
signrff|fp32,rff,rff,real,none,raw,"{""bw_scale"": 1.0}",,fp32,fine,1,256,64,30,30,cosine,uniform,1,32,0,0.5316666960716248,0.5346666574478149,-0.005585108883678913,0.6015480201117281,0.026,95.0,32.0,24320,0,0,,,signrff,,,,,,,
signrff|int4,rff,rff,real,none,raw,"{""bw_scale"": 1.0}",,int4,fine,1,256,64,30,30,cosine,uniform,1,32,0,0.5316666960716248,0.5339999794960022,-0.002781770657747984,0.6018005030148579,0.025,95.0,4.0,24576,0,0,,,signrff,,,,,,,
signrff|ternary,rff,rff,real,none,raw,"{""bw_scale"": 1.0}",,ternary,fine,1,256,64,30,30,cosine,uniform,1,32,0,0.4466666877269745,0.44999998807907104,-0.045512016862630844,0.5622935646182019,0.026,95.0,2.0,24576,0,0,,,signrff,,,,,,,
