mode,bind,perm,random
bag,circ,0.31203704078992206,0.31203704078992206
bag,mul,0.30092594027519226,0.30092594027519226
bag,xor,0.30092594027519226,0.30092594027519226
bag_pos,circ,0.372222234805425,0.3712963064511617
bag_pos,mul,0.3481481571992238,0.34074075023333233
bag_pos,xor,0.3481481571992238,0.34074075023333233
bigram,circ,0.5231481591860453,0.5259259343147278
bigram,mul,0.6009259422620138,0.5777777830759684
bigram,xor,0.6009259422620138,0.5777777830759684
bigram_nopos,circ,0.5194444457689921,0.5194444457689921
bigram_nopos,mul,0.6916666825612386,0.6916666825612386
bigram_nopos,xor,0.6916666825612386,0.6916666825612386
