mode,bind,pos,seed,val_acc,id_acc,mem_kb,ops
bag,mul,perm,0,0.3266666829586029,0.31388890743255615,72.0,24576
bag,mul,random,0,0.3266666829586029,0.31388890743255615,160.0,24576
bag,xor,perm,0,0.3266666829586029,0.31388890743255615,72.0,24576
bag,xor,random,0,0.3266666829586029,0.31388890743255615,160.0,24576
bag,circ,perm,0,0.3466666638851166,0.31388890743255615,72.0,24576
bag,circ,random,0,0.3466666638851166,0.31388890743255615,160.0,24576
bag_pos,mul,perm,0,0.3866666853427887,0.3222222328186035,72.0,49152
bag_pos,mul,random,0,0.36666667461395264,0.3194444477558136,160.0,49152
bag_pos,xor,perm,0,0.3866666853427887,0.3222222328186035,72.0,49152
bag_pos,xor,random,0,0.36666667461395264,0.3194444477558136,160.0,49152
bag_pos,circ,perm,0,0.39000001549720764,0.34166666865348816,72.0,49152
bag_pos,circ,random,0,0.3700000047683716,0.3222222328186035,160.0,49152
bigram,mul,perm,0,0.5600000023841858,0.6166666746139526,72.0,98304
bigram,mul,random,0,0.5666666626930237,0.5777778029441833,160.0,98304
bigram,xor,perm,0,0.5600000023841858,0.6166666746139526,72.0,98304
bigram,xor,random,0,0.5666666626930237,0.5777778029441833,160.0,98304
bigram,circ,perm,0,0.4933333396911621,0.5138888955116272,72.0,98304
bigram,circ,random,0,0.4633333384990692,0.550000011920929,160.0,98304
bigram_nopos,mul,perm,0,0.6700000166893005,0.6972222328186035,72.0,98304
bigram_nopos,mul,random,0,0.6700000166893005,0.6972222328186035,160.0,98304
bigram_nopos,xor,perm,0,0.6700000166893005,0.6972222328186035,72.0,98304
bigram_nopos,xor,random,0,0.6700000166893005,0.6972222328186035,160.0,98304
bigram_nopos,circ,perm,0,0.4766666889190674,0.4555555582046509,72.0,98304
bigram_nopos,circ,random,0,0.4766666889190674,0.4555555582046509,160.0,98304
bag,mul,perm,1,0.2600000202655792,0.26944446563720703,72.0,24576
bag,mul,random,1,0.2600000202655792,0.26944446563720703,160.0,24576
bag,xor,perm,1,0.2600000202655792,0.26944446563720703,72.0,24576
bag,xor,random,1,0.2600000202655792,0.26944446563720703,160.0,24576
bag,circ,perm,1,0.3333333432674408,0.2944444417953491,72.0,24576
bag,circ,random,1,0.3333333432674408,0.2944444417953491,160.0,24576
bag_pos,mul,perm,1,0.4000000059604645,0.38055557012557983,72.0,49152
bag_pos,mul,random,1,0.34333333373069763,0.36666667461395264,160.0,49152
bag_pos,xor,perm,1,0.4000000059604645,0.38055557012557983,72.0,49152
bag_pos,xor,random,1,0.34333333373069763,0.36666667461395264,160.0,49152
bag_pos,circ,perm,1,0.4000000059604645,0.38055557012557983,72.0,49152
bag_pos,circ,random,1,0.3633333444595337,0.3916666805744171,160.0,49152
bigram,mul,perm,1,0.6066666841506958,0.6222222447395325,72.0,98304
bigram,mul,random,1,0.5833333730697632,0.5805555582046509,160.0,98304
bigram,xor,perm,1,0.6066666841506958,0.6222222447395325,72.0,98304
bigram,xor,random,1,0.5833333730697632,0.5805555582046509,160.0,98304
bigram,circ,perm,1,0.5133333206176758,0.5166666507720947,72.0,98304
bigram,circ,random,1,0.5600000023841858,0.5055555701255798,160.0,98304
bigram_nopos,mul,perm,1,0.7100000381469727,0.6833333373069763,72.0,98304
bigram_nopos,mul,random,1,0.7100000381469727,0.6833333373069763,160.0,98304
bigram_nopos,xor,perm,1,0.7100000381469727,0.6833333373069763,72.0,98304
bigram_nopos,xor,random,1,0.7100000381469727,0.6833333373069763,160.0,98304
bigram_nopos,circ,perm,1,0.5666666626930237,0.5805555582046509,72.0,98304
bigram_nopos,circ,random,1,0.5666666626930237,0.5805555582046509,160.0,98304
bag,mul,perm,2,0.31333333253860474,0.3194444477558136,72.0,24576
bag,mul,random,2,0.31333333253860474,0.3194444477558136,160.0,24576
bag,xor,perm,2,0.31333333253860474,0.3194444477558136,72.0,24576
bag,xor,random,2,0.31333333253860474,0.3194444477558136,160.0,24576
bag,circ,perm,2,0.30000001192092896,0.32777777314186096,72.0,24576
bag,circ,random,2,0.30000001192092896,0.32777777314186096,160.0,24576
bag_pos,mul,perm,2,0.28333333134651184,0.34166666865348816,72.0,49152
bag_pos,mul,random,2,0.3100000023841858,0.3361111283302307,160.0,49152
bag_pos,xor,perm,2,0.28333333134651184,0.34166666865348816,72.0,49152
bag_pos,xor,random,2,0.3100000023841858,0.3361111283302307,160.0,49152
bag_pos,circ,perm,2,0.3633333444595337,0.39444446563720703,72.0,49152
bag_pos,circ,random,2,0.3499999940395355,0.4000000059604645,160.0,49152
bigram,mul,perm,2,0.5800000429153442,0.5638889074325562,72.0,98304
bigram,mul,random,2,0.5766666531562805,0.574999988079071,160.0,98304
bigram,xor,perm,2,0.5800000429153442,0.5638889074325562,72.0,98304
bigram,xor,random,2,0.5766666531562805,0.574999988079071,160.0,98304
bigram,circ,perm,2,0.5300000309944153,0.5388889312744141,72.0,98304
bigram,circ,random,2,0.5600000023841858,0.5222222208976746,160.0,98304
bigram_nopos,mul,perm,2,0.7033333778381348,0.694444477558136,72.0,98304
bigram_nopos,mul,random,2,0.7033333778381348,0.694444477558136,160.0,98304
bigram_nopos,xor,perm,2,0.7033333778381348,0.694444477558136,72.0,98304
bigram_nopos,xor,random,2,0.7033333778381348,0.694444477558136,160.0,98304
bigram_nopos,circ,perm,2,0.5600000023841858,0.5222222208976746,72.0,98304
bigram_nopos,circ,random,2,0.5600000023841858,0.5222222208976746,160.0,98304
