spec,family,rp,out,preproc,extractor,params,spec_sim,codec,task,seed,dim,F,C,epochs,sim,weight,multi,proto_bits,quant_train,val_acc,id_acc,margin_id,geom_fid,fit_s,mem_kb,vec_bits,ops_per_query,ext_bits,ext_ops,rp_density,rp_rank,acc_shift_6,margin_ood,acc_shift_12,acc_shift_18
gaussian,linear,gaussian,bipolar,none,raw,,,,linear,0,32,64,30,30,cosine,uniform,1,32,0,0.5450000166893005,0.5320000052452087,0.003619868541136384,0.5222828834950771,0.268,11.75,1.0,3040,0,0,1.0,32.0,,,,
rademacher,linear,rademacher,bipolar,none,raw,,,,linear,0,32,64,30,30,cosine,uniform,1,32,0,0.596666693687439,0.5706666707992554,0.020149048417806625,0.428198267524988,0.009,11.75,1.0,3040,0,0,1.0,32.0,,,,
very_sparse,linear,very_sparse,bipolar,none,raw,,,,linear,0,32,64,30,30,cosine,uniform,1,32,0,0.5766666531562805,0.5753333568572998,0.020536966621875763,0.4436551878436898,0.009,4.75,1.0,1248,0,0,0.125,32.0,,,,
count_sketch,linear,count_sketch,bipolar,none,raw,,,,linear,0,32,64,30,30,cosine,uniform,1,32,0,0.5866667032241821,0.5859999656677246,0.029209192842245102,0.4378724343908617,0.01,4.0,1.0,1056,0,0,0.0312,28.0,,,,
srht,linear,srht,bipolar,none,raw,,,,linear,0,32,64,30,30,cosine,uniform,1,32,0,0.5191667079925537,0.5220000147819519,0.003399000968784094,0.4186302138336924,0.01,11.75,1.0,3040,0,0,1.0,26.0,,,,
orthogonal,linear,orthogonal,bipolar,none,raw,,,,linear,0,32,64,30,30,cosine,uniform,1,32,0,0.6533333659172058,0.671999990940094,0.06817565113306046,0.4780661289198609,0.01,11.75,1.0,3040,0,0,1.0,32.0,,,,
sobol,linear,sobol,bipolar,none,raw,,,,linear,0,32,64,30,30,cosine,uniform,1,32,0,0.5024999976158142,0.5086666345596313,-0.016232408583164215,0.4359213507861363,0.016,11.75,1.0,3040,0,0,1.0,32.0,,,,
signrff_tuned,rff,rff,bipolar,none,raw,"{""bw_grid"": [0.05, 0.1, 0.25, 0.5, 1.0], ""bw_select"": ""val""}",,,linear,0,32,64,30,30,cosine,uniform,1,32,0,0.6416667103767395,0.65666663646698,0.020454810932278633,0.3428818041608768,0.036,11.88,32.0,3040,0,0,,,,,,
fpe_b1,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,,linear,0,32,64,30,30,cosine,uniform,1,32,0,0.12916666269302368,0.13199999928474426,-0.17221224308013916,0.01158933658221481,0.034,11.75,1.0,3040,0,0,,,,,,
learned,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,,linear,0,32,64,30,30,cosine,uniform,1,32,0,0.971666693687439,0.972000002861023,0.3557606041431427,0.5023038274496152,0.737,12.25,1.0,3168,0,0,,,,,,
datainformed_k16,datainformed,datainformed,bipolar,none,raw,"{""K"": 16}",,,linear,0,32,64,30,30,cosine,uniform,1,32,0,0.6033333539962769,0.5579999685287476,0.01591148041188717,0.4451630189618669,0.013,11.75,1.0,3040,0,0,,,,,,
gaussian,linear,gaussian,bipolar,none,raw,,,,linear,0,64,64,30,30,cosine,uniform,1,32,0,0.8358333706855774,0.8506666421890259,0.1177297979593277,0.6125919045919688,0.009,23.5,1.0,6080,0,0,1.0,64.0,,,,
rademacher,linear,rademacher,bipolar,none,raw,,,,linear,0,64,64,30,30,cosine,uniform,1,32,0,0.8566666841506958,0.8706666827201843,0.13858242332935333,0.5555455456856903,0.008,23.5,1.0,6080,0,0,1.0,64.0,,,,
very_sparse,linear,very_sparse,bipolar,none,raw,,,,linear,0,64,64,30,30,cosine,uniform,1,32,0,0.8475000262260437,0.8546666502952576,0.12469460070133209,0.5823832423268349,0.008,9.5,1.0,2495,0,0,0.1248,64.0,,,,
count_sketch,linear,count_sketch,bipolar,none,raw,,,,linear,0,64,64,30,30,cosine,uniform,1,32,0,0.7975000143051147,0.7986666560173035,0.03965200111269951,0.5164849592977114,0.008,7.75,1.0,2048,0,0,0.0156,40.0,,,,
srht,linear,srht,bipolar,none,raw,,,,linear,0,64,64,30,30,cosine,uniform,1,32,0,0.7725000381469727,0.7806666493415833,0.09612196683883667,0.491804744665741,0.009,23.5,1.0,6080,0,0,1.0,41.0,,,,
orthogonal,linear,orthogonal,bipolar,none,raw,,,,linear,0,64,64,30,30,cosine,uniform,1,32,0,0.9625000357627869,0.9586666822433472,0.20443396270275116,0.670643288785876,0.007,23.5,1.0,6080,0,0,1.0,64.0,,,,
sobol,linear,sobol,bipolar,none,raw,,,,linear,0,64,64,30,30,cosine,uniform,1,32,0,0.8400000333786011,0.8193333148956299,0.11060155928134918,0.5767978352633754,0.01,23.5,1.0,6080,0,0,1.0,64.0,,,,
signrff_tuned,rff,rff,bipolar,none,raw,"{""bw_grid"": [0.05, 0.1, 0.25, 0.5, 1.0], ""bw_select"": ""val""}",,,linear,0,64,64,30,30,cosine,uniform,1,32,0,0.8875000476837158,0.8813333511352539,0.04948262870311737,0.39052214469900437,0.034,23.75,32.0,6080,0,0,,,,,,
fpe_b1,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,,linear,0,64,64,30,30,cosine,uniform,1,32,0,0.2408333420753479,0.24266666173934937,-0.05979226529598236,0.011405621072335195,0.03,23.51,1.0,6080,0,0,,,,,,
learned,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,,linear,0,64,64,30,30,cosine,uniform,1,32,0,0.9891666769981384,0.9893333315849304,0.3882156014442444,0.5779351567061667,0.327,24.0,1.0,6208,0,0,,,,,,
datainformed_k16,datainformed,datainformed,bipolar,none,raw,"{""K"": 16}",,,linear,0,64,64,30,30,cosine,uniform,1,32,0,0.8641666769981384,0.8713333010673523,0.14446474611759186,0.582716610370718,0.014,23.5,1.0,6080,0,0,,,,,,
gaussian,linear,gaussian,bipolar,none,raw,,,,linear,0,128,64,30,30,cosine,uniform,1,32,0,0.95250004529953,0.9446666836738586,0.1898597776889801,0.7199148365162805,0.007,47.0,1.0,12160,0,0,1.0,64.0,,,,
rademacher,linear,rademacher,bipolar,none,raw,,,,linear,0,128,64,30,30,cosine,uniform,1,32,0,0.9550000429153442,0.9473333358764648,0.1976158171892166,0.689283235090421,0.006,47.0,1.0,12160,0,0,1.0,64.0,,,,
very_sparse,linear,very_sparse,bipolar,none,raw,,,,linear,0,128,64,30,30,cosine,uniform,1,32,0,0.9433333277702332,0.9393333196640015,0.19246697425842285,0.6992300566530683,0.006,19.08,1.0,5012,0,0,0.1274,64.0,,,,
count_sketch,linear,count_sketch,bipolar,none,raw,,,,linear,0,128,64,30,30,cosine,uniform,1,32,0,0.8925000429153442,0.8939999938011169,0.037502288818359375,0.5984058116404325,0.009,15.25,1.0,4032,0,0,0.0078,52.0,,,,
srht,linear,srht,bipolar,none,raw,,,,linear,0,128,64,30,30,cosine,uniform,1,32,0,0.9100000262260437,0.9133332967758179,0.17196457087993622,0.5591597808810048,0.009,47.0,1.0,12160,0,0,1.0,59.0,,,,
orthogonal,linear,orthogonal,bipolar,none,raw,,,,linear,0,128,64,30,30,cosine,uniform,1,32,0,0.9891666769981384,0.9819999933242798,0.2327873557806015,0.7823267837804438,0.005,47.0,1.0,12160,0,0,1.0,64.0,,,,
sobol,linear,sobol,bipolar,none,raw,,,,linear,0,128,64,30,30,cosine,uniform,1,32,0,0.9541667103767395,0.9519999623298645,0.19697020947933197,0.7151601077939718,0.008,47.0,1.0,12160,0,0,1.0,64.0,,,,
signrff_tuned,rff,rff,bipolar,none,raw,"{""bw_grid"": [0.05, 0.1, 0.25, 0.5, 1.0], ""bw_select"": ""val""}",,,linear,0,128,64,30,30,cosine,uniform,1,32,0,0.955833375453949,0.9626666307449341,0.07448751479387283,0.4979614633416567,0.031,47.5,32.0,12160,0,0,,,,,,
fpe_b1,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,,linear,0,128,64,30,30,cosine,uniform,1,32,0,0.46833333373069763,0.44733333587646484,-0.006061257794499397,0.02284442860476074,0.031,47.02,1.0,12160,0,0,,,,,,
learned,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,,linear,0,128,64,30,30,cosine,uniform,1,32,0,0.9950000047683716,0.9913333058357239,0.4042890667915344,0.6330906957571009,0.283,47.5,1.0,12288,0,0,,,,,,
datainformed_k16,datainformed,datainformed,bipolar,none,raw,"{""K"": 16}",,,linear,0,128,64,30,30,cosine,uniform,1,32,0,0.9591667056083679,0.9526666402816772,0.1943475306034088,0.699560374058936,0.012,47.0,1.0,12160,0,0,,,,,,
gaussian,linear,gaussian,bipolar,none,raw,,,,linear,0,256,64,30,30,cosine,uniform,1,32,0,0.9808333516120911,0.9746666550636292,0.2254595309495926,0.8196357294635678,0.012,94.0,1.0,24320,0,0,1.0,64.0,,,,
rademacher,linear,rademacher,bipolar,none,raw,,,,linear,0,256,64,30,30,cosine,uniform,1,32,0,0.9866666793823242,0.9806666374206543,0.2273268848657608,0.8055856423253556,0.006,94.0,1.0,24320,0,0,1.0,64.0,,,,
very_sparse,linear,very_sparse,bipolar,none,raw,,,,linear,0,256,64,30,30,cosine,uniform,1,32,0,0.98416668176651,0.981333315372467,0.2240752875804901,0.8074665604241178,0.006,38.06,1.0,10000,0,0,0.126,64.0,,,,
count_sketch,linear,count_sketch,bipolar,none,raw,,,,linear,0,256,64,30,30,cosine,uniform,1,32,0,0.9450000524520874,0.9393333196640015,0.022543685510754585,0.6344995879495287,0.007,30.25,1.0,8000,0,0,0.0039,59.0,,,,
srht,linear,srht,bipolar,none,raw,,,,linear,0,256,64,30,30,cosine,uniform,1,32,0,0.9191666841506958,0.9259999990463257,0.17134620249271393,0.5991100954641324,0.014,94.0,1.0,24320,0,0,1.0,64.0,,,,
orthogonal,linear,orthogonal,bipolar,none,raw,,,,linear,0,256,64,30,30,cosine,uniform,1,32,0,0.9908333420753479,0.9906666278839111,0.24597524106502533,0.8694877816055057,0.011,94.0,1.0,24320,0,0,1.0,64.0,,,,
sobol,linear,sobol,bipolar,none,raw,,,,linear,0,256,64,30,30,cosine,uniform,1,32,0,0.987500011920929,0.9806666374206543,0.23671206831932068,0.8390490759317198,0.008,94.0,1.0,24320,0,0,1.0,64.0,,,,
signrff_tuned,rff,rff,bipolar,none,raw,"{""bw_grid"": [0.05, 0.1, 0.25, 0.5, 1.0], ""bw_select"": ""val""}",,,linear,0,256,64,30,30,cosine,uniform,1,32,0,0.9825000166893005,0.9800000190734863,0.08675871044397354,0.5949674282333537,0.03,95.0,32.0,24320,0,0,,,,,,
fpe_b1,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,,linear,0,256,64,30,30,cosine,uniform,1,32,0,0.7325000166893005,0.7206666469573975,0.03143619745969772,0.02537301424741957,0.03,94.03,1.0,24320,0,0,,,,,,
learned,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,,linear,0,256,64,30,30,cosine,uniform,1,32,0,0.9975000023841858,0.9953333139419556,0.4184929132461548,0.6739255273908373,0.292,94.5,1.0,24448,0,0,,,,,,
datainformed_k16,datainformed,datainformed,bipolar,none,raw,"{""K"": 16}",,,linear,0,256,64,30,30,cosine,uniform,1,32,0,0.9858333468437195,0.9866666793823242,0.22676539421081543,0.8010543952066355,0.013,94.0,1.0,24320,0,0,,,,,,
gaussian,linear,gaussian,bipolar,none,raw,,,,linear,0,512,64,30,30,cosine,uniform,1,32,0,0.9925000071525574,0.9853333234786987,0.24195100367069244,0.8920772133483712,0.007,188.0,1.0,48640,0,0,1.0,64.0,,,,
rademacher,linear,rademacher,bipolar,none,raw,,,,linear,0,512,64,30,30,cosine,uniform,1,32,0,0.9916666746139526,0.9919999837875366,0.24595722556114197,0.8868654691116651,0.006,188.0,1.0,48640,0,0,1.0,64.0,,,,
very_sparse,linear,very_sparse,bipolar,none,raw,,,,linear,0,512,64,30,30,cosine,uniform,1,32,0,0.9883333444595337,0.9906666278839111,0.24309897422790527,0.8845354983139959,0.006,76.0,1.0,19969,0,0,0.125,64.0,,,,
count_sketch,linear,count_sketch,bipolar,none,raw,,,,linear,0,512,64,30,30,cosine,uniform,1,32,0,0.95250004529953,0.9559999704360962,0.012388288043439388,0.6623232322319833,0.008,60.25,1.0,15936,0,0,0.002,64.0,,,,
srht,linear,srht,bipolar,none,raw,,,,linear,0,512,64,30,30,cosine,uniform,1,32,0,0.9358333349227905,0.9266666769981384,0.18141452968120575,0.6290538262853547,0.008,188.0,1.0,48640,0,0,1.0,64.0,,,,
orthogonal,linear,orthogonal,bipolar,none,raw,,,,linear,0,512,64,30,30,cosine,uniform,1,32,0,0.9916666746139526,0.9946666359901428,0.25404834747314453,0.9267710900971942,0.007,188.0,1.0,48640,0,0,1.0,64.0,,,,
sobol,linear,sobol,bipolar,none,raw,,,,linear,0,512,64,30,30,cosine,uniform,1,32,0,0.9941666722297668,0.9926666617393494,0.2506924569606781,0.9132833702500989,0.008,188.0,1.0,48640,0,0,1.0,64.0,,,,
signrff_tuned,rff,rff,bipolar,none,raw,"{""bw_grid"": [0.05, 0.1, 0.25, 0.5, 1.0], ""bw_select"": ""val""}",,,linear,0,512,64,30,30,cosine,uniform,1,32,0,0.9933333396911621,0.9886666536331177,0.09666699171066284,0.676088568351011,0.032,190.0,32.0,48640,0,0,,,,,,
fpe_b1,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,,linear,0,512,64,30,30,cosine,uniform,1,32,0,0.9041666984558105,0.8866666555404663,0.054833415895700455,0.029703937302968053,0.029,188.06,1.0,48640,0,0,,,,,,
learned,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,,linear,0,512,64,30,30,cosine,uniform,1,32,0,0.9983333349227905,0.9973333477973938,0.4226140081882477,0.6966731501597878,0.307,188.5,1.0,48768,0,0,,,,,,
datainformed_k16,datainformed,datainformed,bipolar,none,raw,"{""K"": 16}",,,linear,0,512,64,30,30,cosine,uniform,1,32,0,0.9950000047683716,0.9873332977294922,0.2439764440059662,0.885529539007521,0.015,188.0,1.0,48640,0,0,,,,,,
gaussian,linear,gaussian,bipolar,none,raw,,,,linear,0,1024,64,30,30,cosine,uniform,1,32,0,0.9950000047683716,0.9926666617393494,0.2523500323295593,0.9389883125250222,0.007,376.0,1.0,97280,0,0,1.0,64.0,,,,
rademacher,linear,rademacher,bipolar,none,raw,,,,linear,0,1024,64,30,30,cosine,uniform,1,32,0,0.996666669845581,0.9946666359901428,0.2538761496543884,0.9356041146052905,0.007,376.0,1.0,97280,0,0,1.0,64.0,,,,
very_sparse,linear,very_sparse,bipolar,none,raw,,,,linear,0,1024,64,30,30,cosine,uniform,1,32,0,0.9941666722297668,0.9933333396911621,0.2521238923072815,0.9368324292415536,0.007,152.26,1.0,40002,0,0,0.126,64.0,,,,
count_sketch,linear,count_sketch,bipolar,none,raw,,,,linear,0,1024,64,30,30,cosine,uniform,1,32,0,0.95250004529953,0.9566666483879089,0.006033497862517834,0.6644336060142477,0.008,120.25,1.0,31808,0,0,0.001,64.0,,,,
srht,linear,srht,bipolar,none,raw,,,,linear,0,1024,64,30,30,cosine,uniform,1,32,0,0.9424999952316284,0.9519999623298645,0.19666218757629395,0.6471619911838938,0.009,376.0,1.0,97280,0,0,1.0,64.0,,,,
orthogonal,linear,orthogonal,bipolar,none,raw,,,,linear,0,1024,64,30,30,cosine,uniform,1,32,0,0.996666669845581,0.9953333139419556,0.2580244541168213,0.9614708518618931,0.009,376.0,1.0,97280,0,0,1.0,64.0,,,,
sobol,linear,sobol,bipolar,none,raw,,,,linear,0,1024,64,30,30,cosine,uniform,1,32,0,0.9950000047683716,0.9959999918937683,0.25761324167251587,0.9579556070155563,0.009,376.0,1.0,97280,0,0,1.0,64.0,,,,
signrff_tuned,rff,rff,bipolar,none,raw,"{""bw_grid"": [0.05, 0.1, 0.25, 0.5, 1.0], ""bw_select"": ""val""}",,,linear,0,1024,64,30,30,cosine,uniform,1,32,0,0.9958333373069763,0.9946666359901428,0.13805921375751495,0.656032741500568,0.032,380.0,32.0,97280,0,0,,,,,,
fpe_b1,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,,linear,0,1024,64,30,30,cosine,uniform,1,32,0,0.9566667079925537,0.9626666307449341,0.06662259995937347,0.04137796599816011,0.029,376.12,1.0,97280,0,0,,,,,,
learned,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,,linear,0,1024,64,30,30,cosine,uniform,1,32,0,0.9983333349227905,0.996666669845581,0.4248325824737549,0.7107328237919461,0.298,376.5,1.0,97408,0,0,,,,,,
datainformed_k16,datainformed,datainformed,bipolar,none,raw,"{""K"": 16}",,,linear,0,1024,64,30,30,cosine,uniform,1,32,0,0.9941666722297668,0.9946666359901428,0.2516322135925293,0.937530604755979,0.021,376.0,1.0,97280,0,0,,,,,,
gaussian,linear,gaussian,bipolar,none,raw,,,,linear,0,2048,64,30,30,cosine,uniform,1,32,0,0.9958333373069763,0.9940000176429749,0.25788623094558716,0.9678981833632141,0.01,752.0,1.0,194560,0,0,1.0,64.0,,,,
rademacher,linear,rademacher,bipolar,none,raw,,,,linear,0,2048,64,30,30,cosine,uniform,1,32,0,0.996666669845581,0.9953333139419556,0.2579458951950073,0.9665623011792244,0.009,752.0,1.0,194560,0,0,1.0,64.0,,,,
very_sparse,linear,very_sparse,bipolar,none,raw,,,,linear,0,2048,64,30,30,cosine,uniform,1,32,0,0.9950000047683716,0.9940000176429749,0.25650522112846375,0.9649275418090294,0.009,305.16,1.0,80170,0,0,0.1273,64.0,,,,
count_sketch,linear,count_sketch,bipolar,none,raw,,,,linear,0,2048,64,30,30,cosine,uniform,1,32,0,0.95250004529953,0.9559999704360962,0.002978385193273425,0.6617705827113445,0.01,240.25,1.0,63552,0,0,0.0005,64.0,,,,
srht,linear,srht,bipolar,none,raw,,,,linear,0,2048,64,30,30,cosine,uniform,1,32,0,0.9516667127609253,0.9566666483879089,0.19862420856952667,0.6564083453806709,0.011,752.0,1.0,194560,0,0,1.0,64.0,,,,
orthogonal,linear,orthogonal,bipolar,none,raw,,,,linear,0,2048,64,30,30,cosine,uniform,1,32,0,0.9975000023841858,0.9959999918937683,0.2605483829975128,0.9803184671002605,0.017,752.0,1.0,194560,0,0,1.0,64.0,,,,
sobol,linear,sobol,bipolar,none,raw,,,,linear,0,2048,64,30,30,cosine,uniform,1,32,0,0.9975000023841858,0.9946666359901428,0.25981900095939636,0.9788904417563504,0.02,752.0,1.0,194560,0,0,1.0,64.0,,,,
signrff_tuned,rff,rff,bipolar,none,raw,"{""bw_grid"": [0.05, 0.1, 0.25, 0.5, 1.0], ""bw_select"": ""val""}",,,linear,0,2048,64,30,30,cosine,uniform,1,32,0,0.9975000023841858,0.9959999918937683,0.09737372398376465,0.6970112929658225,0.034,760.0,32.0,194560,0,0,,,,,,
fpe_b1,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,,linear,0,2048,64,30,30,cosine,uniform,1,32,0,0.9825000166893005,0.9819999933242798,0.07377896457910538,0.047683569988870765,0.03,752.25,1.0,194560,0,0,,,,,,
learned,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,,linear,0,2048,64,30,30,cosine,uniform,1,32,0,0.9975000023841858,0.996666669845581,0.4246296286582947,0.7158008842025156,0.332,752.5,1.0,194688,0,0,,,,,,
datainformed_k16,datainformed,datainformed,bipolar,none,raw,"{""K"": 16}",,,linear,0,2048,64,30,30,cosine,uniform,1,32,0,0.996666669845581,0.9946666359901428,0.2572617828845978,0.9671468258321156,0.033,752.0,1.0,194560,0,0,,,,,,
gaussian,linear,gaussian,bipolar,none,raw,,,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.996666669845581,0.9959999918937683,0.260096937417984,0.9832167550986861,0.017,1504.0,1.0,389120,0,0,1.0,64.0,,,,
rademacher,linear,rademacher,bipolar,none,raw,,,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.9975000023841858,0.9959999918937683,0.26027554273605347,0.9829952981378282,0.016,1504.0,1.0,389120,0,0,1.0,64.0,,,,
very_sparse,linear,very_sparse,bipolar,none,raw,,,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.9958333373069763,0.9953333139419556,0.25843003392219543,0.981434583006688,0.015,609.3,1.0,160077,0,0,0.1263,64.0,,,,
count_sketch,linear,count_sketch,bipolar,none,raw,,,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.95250004529953,0.9566666483879089,0.0014792003203183413,0.6644336060142477,0.016,480.25,1.0,127040,0,0,0.0002,64.0,,,,
srht,linear,srht,bipolar,none,raw,,,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.9575000405311584,0.9440000057220459,0.19914083182811737,0.6603194492505442,0.018,1504.0,1.0,389120,0,0,1.0,64.0,,,,
orthogonal,linear,orthogonal,bipolar,none,raw,,,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.9975000023841858,0.9959999918937683,0.26165539026260376,0.9900241104750576,0.028,1504.0,1.0,389120,0,0,1.0,64.0,,,,
sobol,linear,sobol,bipolar,none,raw,,,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.9975000023841858,0.9959999918937683,0.2602688670158386,0.9893835741656136,0.037,1504.0,1.0,389120,0,0,1.0,64.0,,,,
signrff_tuned,rff,rff,bipolar,none,raw,"{""bw_grid"": [0.05, 0.1, 0.25, 0.5, 1.0], ""bw_select"": ""val""}",,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.9983333349227905,0.9959999918937683,0.14013239741325378,0.6897213786702145,0.047,1520.0,32.0,389120,0,0,,,,,,
fpe_b1,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.98416668176651,0.9886666536331177,0.07655137777328491,0.04546359113093857,0.038,1504.5,1.0,389120,0,0,,,,,,
learned,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.9983333349227905,0.996666669845581,0.422369122505188,0.7218628986878775,0.313,1504.5,1.0,389248,0,0,,,,,,
datainformed_k16,datainformed,datainformed,bipolar,none,raw,"{""K"": 16}",,,linear,0,4096,64,30,30,cosine,uniform,1,32,0,0.996666669845581,0.9953333139419556,0.26095497608184814,0.9833279501125005,0.084,1504.0,1.0,389120,0,0,,,,,,
gaussian,linear,gaussian,bipolar,none,raw,,,,linear,1,32,64,30,30,cosine,uniform,1,32,0,0.6299999952316284,0.6119999885559082,0.033490847796201706,0.5235679313118443,0.013,11.75,1.0,3040,0,0,1.0,32.0,,,,
rademacher,linear,rademacher,bipolar,none,raw,,,,linear,1,32,64,30,30,cosine,uniform,1,32,0,0.6358333230018616,0.637333333492279,0.0427803136408329,0.4426759213083374,0.009,11.75,1.0,3040,0,0,1.0,32.0,,,,
very_sparse,linear,very_sparse,bipolar,none,raw,,,,linear,1,32,64,30,30,cosine,uniform,1,32,0,0.5625,0.5413333177566528,0.0017326425295323133,0.4252865083461687,0.009,4.85,1.0,1273,0,0,0.1372,32.0,,,,
count_sketch,linear,count_sketch,bipolar,none,raw,,,,linear,1,32,64,30,30,cosine,uniform,1,32,0,0.5925000309944153,0.5853333473205566,0.021682435646653175,0.43822781425254914,0.009,4.0,1.0,1056,0,0,0.0312,28.0,,,,
srht,linear,srht,bipolar,none,raw,,,,linear,1,32,64,30,30,cosine,uniform,1,32,0,0.6425000429153442,0.6119999885559082,0.041183747351169586,0.4462823049039003,0.009,11.75,1.0,3040,0,0,1.0,29.0,,,,
orthogonal,linear,orthogonal,bipolar,none,raw,,,,linear,1,32,64,30,30,cosine,uniform,1,32,0,0.7225000262260437,0.7179999947547913,0.08304420113563538,0.47433654781298207,0.009,11.75,1.0,3040,0,0,1.0,32.0,,,,
sobol,linear,sobol,bipolar,none,raw,,,,linear,1,32,64,30,30,cosine,uniform,1,32,0,0.5641666650772095,0.5426666736602783,0.002903619082644582,0.41465723990646236,0.011,11.75,1.0,3040,0,0,1.0,32.0,,,,
signrff_tuned,rff,rff,bipolar,none,raw,"{""bw_grid"": [0.05, 0.1, 0.25, 0.5, 1.0], ""bw_select"": ""val""}",,,linear,1,32,64,30,30,cosine,uniform,1,32,0,0.6683333516120911,0.6639999747276306,0.02225736528635025,0.3312285248086139,0.032,11.88,32.0,3040,0,0,,,,,,
fpe_b1,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,,linear,1,32,64,30,30,cosine,uniform,1,32,0,0.12333333492279053,0.12866666913032532,-0.16718915104866028,0.004673961781798109,0.029,11.75,1.0,3040,0,0,,,,,,
learned,learned,learned,bipolar,none,raw,"{""epochs"": 60}",,,linear,1,32,64,30,30,cosine,uniform,1,32,0,0.9775000214576721,0.9779999852180481,0.3630650043487549,0.5123840577464459,0.292,12.25,1.0,3168,0,0,,,,,,
datainformed_k16,datainformed,datainformed,bipolar,none,raw,"{""K"": 16}",,,linear,1,32,64,30,30,cosine,uniform,1,32,0,0.6516667008399963,0.6340000033378601,0.05722885951399803,0.4492424628520525,0.013,11.75,1.0,3040,0,0,,,,,,
gaussian,linear,gaussian,bipolar,none,raw,,,,linear,1,64,64,30,30,cosine,uniform,1,32,0,0.8741666674613953,0.8586666584014893,0.1326155960559845,0.6118984833455416,0.009,23.5,1.0,6080,0,0,1.0,64.0,,,,
rademacher,linear,rademacher,bipolar,none,raw,,,,linear,1,64,64,30,30,cosine,uniform,1,32,0,0.862500011920929,0.8659999966621399,0.13235698640346527,0.5690176851651981,0.009,23.5,1.0,6080,0,0,1.0,64.0,,,,
very_sparse,linear,very_sparse,bipolar,none,raw,,,,linear,1,64,64,30,30,cosine,uniform,1,32,0,0.8550000190734863,0.840666651725769,0.11993689835071564,0.5549110406284544,0.009,9.72,1.0,2552,0,0,0.1387,64.0,,,,
count_sketch,linear,count_sketch,bipolar,none,raw,,,,linear,1,64,64,30,30,cosine,uniform,1,32,0,0.815833330154419,0.7893333435058594,0.042310141026973724,0.5407903136991478,0.01,7.75,1.0,2048,0,0,0.0156,42.0,,,,
srht,linear,srht,bipolar,none,raw,,,,linear,1,64,64,30,30,cosine,uniform,1,32,0,0.78083336353302,0.7986666560173035,0.10397762060165405,0.4951497448059408,0.009,23.5,1.0,6080,0,0,1.0,43.0,,,,
orthogonal,linear,orthogonal,bipolar,none,raw,,,,linear,1,64,64,30,30,cosine,uniform,1,32,0,0.9475000500679016,0.9546666741371155,0.2024773359298706,0.6637028144102076,0.007,23.5,1.0,6080,0,0,1.0,64.0,,,,
sobol,linear,sobol,bipolar,none,raw,,,,linear,1,64,64,30,30,cosine,uniform,1,32,0,0.85916668176651,0.8499999642372131,0.11910983920097351,0.5571068935708227,0.011,23.5,1.0,6080,0,0,1.0,64.0,,,,
signrff_tuned,rff,rff,bipolar,none,raw,"{""bw_grid"": [0.05, 0.1, 0.25, 0.5, 1.0], ""bw_select"": ""val""}",,,linear,1,64,64,30,30,cosine,uniform,1,32,0,0.9041666984558105,0.8793333172798157,0.05081501603126526,0.3947707827736569,0.029,23.75,32.0,6080,0,0,,,,,,
fpe_b1,fpe,fpe,bipolar,none,raw,"{""bw_scale"": 0.25, ""phase_bits"": 1}",,,linear,1,64,64,30,30,cosine,uniform,1,32,0,0.24833333492279053,0.24266666173934937,-0.06738919019699097,0.009614891705500533,0.028,23.51,1.0,6080,0,0,,,,,,
