metric,target,spearman,p
margin_id,id_acc,0.7729083966270397,4.350543037800835e-53
margin_id,acc_noise_0.5,0.7513376319327648,1.1632265282940115e-48
margin_ood,acc_shift_12,0.799830485935133,1.5379508634276864e-20
geom_fid,id_acc,0.27904504169788225,4.700558127703521e-06
geom_fid,avg_ood_shift,0.7862659770877464,1.8394732087790506e-19
